,eof1_pval,lat,lon
0,0,6.97653,199.688
0,0,6.97653,202.5
0,0,6.97653,205.312
0,0,6.97653,208.125
0,0,6.97653,210.938
0,0,6.97653,213.75
0,0,6.97653,216.562
0,0,6.97653,219.375
0,0,6.97653,222.188
0,0,6.97653,225
0,0,6.97653,227.812
0,0,6.97653,230.625
0,0,6.97653,233.438
0,0,6.97653,236.25
0,0,6.97653,239.062
0,0,6.97653,241.875
0,0,6.97653,244.688
0,0,6.97653,247.5
0,0,6.97653,250.312
0,0,6.97653,253.125
0,0,6.97653,255.938
0,0,6.97653,258.75
0,0,6.97653,261.562
0,0,6.97653,264.375
0,0,6.97653,267.188
0,0,6.97653,270
0,0,6.97653,272.812
0,0,6.97653,275.625
0,0,4.18592,278.438
0,5.19644e-28,4.18592,151.875
0,9.65639e-11,4.18592,154.688
0,0.103102,4.18592,157.5
0,5.27027e-07,4.18592,160.312
0,4.57027e-30,4.18592,163.125
0,2.04834e-85,4.18592,165.938
0,3.02322e-163,4.18592,168.75
0,2.34916e-258,4.18592,171.562
0,0,4.18592,174.375
0,0,4.18592,177.188
0,0,4.18592,180
0,0,4.18592,182.812
0,0,4.18592,185.625
0,0,4.18592,188.438
0,0,4.18592,191.25
0,0,4.18592,194.062
0,0,4.18592,196.875
0,0,4.18592,199.688
0,0,4.18592,202.5
0,0,4.18592,205.312
0,0,4.18592,208.125
0,0,4.18592,210.938
0,0,4.18592,213.75
0,0,4.18592,216.562
0,0,4.18592,219.375
0,0,4.18592,222.188
0,0,4.18592,225
0,0,4.18592,227.812
0,0,4.18592,230.625
0,0,4.18592,233.438
0,0,4.18592,236.25
0,0,4.18592,239.062
0,0,4.18592,241.875
0,0,4.18592,244.688
0,0,4.18592,247.5
0,0,4.18592,250.312
0,0,4.18592,253.125
0,0,4.18592,255.938
0,0,4.18592,258.75
0,0,4.18592,261.562
0,0,4.18592,264.375
0,0,4.18592,267.188
0,0,4.18592,270
0,0,4.18592,272.812
0,0,4.18592,275.625
0,10,1.39531,278.438
0,1.4054e-26,1.39531,151.875
0,2.12449e-07,1.39531,154.688
0,0.624634,1.39531,157.5
0,5.01493e-16,1.39531,160.312
0,6.52548e-52,1.39531,163.125
0,4.42719e-128,1.39531,165.938
0,1.33162e-222,1.39531,168.75
0,7.75812e-311,1.39531,171.562
0,0,1.39531,174.375
0,0,1.39531,177.188
0,0,1.39531,180
0,0,1.39531,182.812
0,0,1.39531,185.625
0,0,1.39531,188.438
0,0,1.39531,191.25
0,0,1.39531,194.062
0,0,1.39531,196.875
