,pc1,pc2,pc3,pc4
351,-7.28945,5.76694,3.85297,0.0816132
352,-6.44055,8.54685,3.06671,0.626234
353,-5.79179,8.69836,4.20213,0.272743
354,-5.01395,9.73416,2.89854,1.08406
355,-7.69318,8.68284,3.13435,-0.262899
356,-11.3978,6.95975,1.71575,-0.542115
357,-13.838,6.7594,1.6608,0.946077
358,-13.6259,7.13607,1.10752,0.47387
359,-11.8691,7.18814,0.379496,1.33324
360,-5.72931,8.37796,0.161693,1.26123
361,-0.596633,9.38331,-1.40976,1.23295
362,-2.05424,9.27695,0.0358449,1.83815
363,0.389906,8.49835,1.96321,3.23337
364,3.40646,5.84499,0.623213,4.20149
365,9.22593,4.11952,-2.11759,4.10588
366,8.89133,2.85218,-0.41136,5.55263
367,9.31447,1.33481,-2.19003,4.26346
368,7.5914,0.323891,-1.54968,3.87501
369,11.2215,-1.45032,0.0657209,2.10359
370,10.4512,-1.40574,-2.14276,0.887654
371,13.7028,-1.09209,-2.82355,0.334084
372,12.3346,-0.116665,-1.35615,-0.248711
373,11.564,0.49932,-0.138181,-1.07992
374,8.80117,0.232753,0.25249,-0.626387
375,9.02469,-1.3956,-0.242962,-1.66154
376,5.65288,-2.74452,1.82936,0.484161
377,5.21519,-4.23984,1.34781,0.847838
378,3.51251,-2.33349,1.72107,1.37323
379,5.42919,-1.1502,1.18921,-0.30932
380,1.62512,-0.436703,-0.0891354,0.882013
381,0.0958123,1.09937,-2.13692,3.18974
382,-2.70499,1.00057,-3.64929,1.68542
383,-4.32524,1.72744,-3.36372,-0.854166
384,-6.88896,2.32408,1.11902,1.26188
385,-9.15939,1.84371,3.07815,1.58379
386,-10.8167,3.59004,2.58733,3.36148
387,-8.09352,1.93823,0.739031,0.684505
388,-11.2845,-1.93502,-1.10438,0.962782
389,-13.26,-0.303562,-1.81652,1.3256
390,-12.9838,0.227232,-1.45754,1.05516
391,-14.8516,-0.391681,-2.94015,0.642492
392,-21.5951,-0.710854,-4.10252,-1.01578
393,-25.6791,-0.167527,-2.74917,-0.443296
394,-27.0804,0.135189,-0.998805,0.286681
395,-26.5958,-1.27245,-0.382122,0.904033
396,-26.7063,0.149999,0.142635,1.47871
397,-22.1619,1.05649,-0.690753,1.47704
398,-18.8787,0.741094,1.048,4.24659
399,-14.4796,-0.56826,1.45575,4.63529
400,-12.5052,1.88397,0.984635,4.96069
401,-5.55688,3.49694,-0.217066,3.41228
402,-1.15669,4.00359,-3.17778,3.9139
403,6.0754,6.52715,-5.35988,1.9268
404,6.69584,2.77,-4.10981,2.87123
405,11.156,1.11542,-3.6888,1.23137
406,11.5478,-0.842738,-3.84695,2.4018
407,11.5199,-0.199783,-5.20253,1.18757
408,15.199,0.039955,-6.75835,-0.821224
409,11.0328,-1.24087,-3.64806,0.711472
410,10.0211,0.406329,-2.53249,0.952344
411,8.03402,-0.831681,-1.11947,1.36664
412,7.10322,-2.49506,-0.788469,0.0915678
413,8.89209,-2.36367,-0.321881,1.14675
414,9.96567,-0.182892,0.229774,2.13554
415,11.7213,0.31606,-1.06786,0.143912
416,11.3211,-0.685465,-0.935719,0.680131
417,12.5658,1.20259,-1.02006,0.592103
418,11.657,2.90552,0.614898,0.282199
419,4.39623,1.08165,0.735322,0.850401
420,0.51534,1.7151,-0.344301,0.431474
421,-3.02345,0.892017,-1.68478,-1.45798
422,-3.21876,0.508206,-2.33962,-1.82938
423,-8.71416,-0.307312,-3.72679,-1.27603
424,-10.0773,1.13951,-2.63169,-1.42608
425,-8.7495,1.49208,-2.68657,-2.89125
426,-7.23934,1.06476,-2.68252,-1.81781
427,-6.07802,2.03423,-1.50689,-0.560382
428,-2.14445,4.79465,-1.75886,-0.977956
429,-2.33838,2.67424,-1.05011,0.506062
430,-2.51027,1.32749,-1.1052,-0.123366
431,-2.49102,2.12676,-1.85549,-0.364977
432,-2.00051,1.95219,-0.0506302,3.45002
433,0.51153,-0.065485,1.13678,3.25618
434,3.26584,-1.87217,2.77396,2.64487
435,7.24764,-2.06466,4.15246,2.19323
436,6.8436,-0.743655,3.92019,2.8381
437,9.71282,0.724276,4.79292,0.128872
438,13.3051,-0.265901,4.85124,0.291029
439,14.2189,-0.168115,1.69111,1.89416
440,17.837,-0.265891,-0.465,1.92118
441,23.531,-0.926454,-1.39174,0.579609
442,21.4973,-1.993,-1.58275,0.388871
443,19.1711,-0.969126,0.02024,-0.462034
444,17.9882,1.17225,-1.77956,-1.02606
445,18.8072,1.91392,-3.64593,-0.69723
446,15.6959,0.377843,-2.47466,-0.434034
447,16.3129,-0.799741,-0.920752,-1.63489
448,17.5055,-0.799909,0.709723,-2.04953
449,17.2287,-1.14175,0.704913,-1.81802
450,14.3489,-0.920937,-0.944631,-1.56951
451,14.8598,-3.70976,-2.21106,-0.2465
452,15.9416,-6.28341,-1.08251,0.287445
453,15.5192,-8.23449,-2.13313,0.219677
454,14.6876,-7.67295,-2.66615,0.00530112
455,12.4395,-7.11993,-2.71276,0.798738
456,14.3839,-7.14426,-2.40951,0.0193167
457,13.7826,-7.83883,-0.852416,1.86974
458,13.592,-8.39149,0.203296,2.6118
459,11.5178,-8.14056,0.400465,0.958489
460,10.9961,-7.01511,1.89777,1.35918
461,8.30008,-7.24047,1.20641,1.82181
462,5.37316,-4.42578,0.932234,0.754602
463,8.26581,-3.65452,-1.17505,0.0371191
464,6.46201,-4.00702,-0.642949,2.1522
465,7.54235,-1.2475,1.30329,1.51966
466,5.45682,0.988242,2.64314,2.37488
467,5.30486,1.92611,1.90811,2.40324
468,3.17267,1.86804,-0.384038,0.710059
469,3.67013,1.57546,0.124045,0.245673
470,2.00829,0.501763,1.12847,0.192305
471,1.94441,-1.21359,1.90555,0.489837
472,1.26763,-2.10228,1.09956,0.998971
473,1.46598,-2.38217,0.834709,2.06106
474,0.974441,-1.16442,-0.0387296,1.89977
475,-3.09372,-1.42269,-1.23539,3.04658
476,-6.3299,-2.21165,-0.345931,1.40609
477,-6.88987,-2.33849,-0.693471,0.982041
478,-10.2643,-2.68924,-2.22562,0.918523
479,-7.18427,-2.61583,-1.94609,0.184798
480,-6.10468,-1.16843,-2.848,0.282326
481,-4.87646,-0.0900864,-2.05876,0.672225
482,-5.49299,-0.474442,-2.67275,0.699959
483,-6.73628,1.87458,-2.32576,1.52534
484,-6.09942,0.970829,-4.08327,0.843659
485,-6.6327,0.295151,-3.66498,0.437855
486,-11.2672,-0.980117,-2.12771,1.26679
487,-16.983,-2.07544,-0.97938,1.35282
488,-17.0117,-1.43955,-1.4004,3.07058
489,-17.9415,-1.29963,0.376409,3.95485
490,-21.7372,-1.66942,1.51631,3.97578
491,-23.9576,-1.69297,1.40309,1.97841
492,-22.827,-1.11647,1.52038,3.92734
493,-19.0909,-3.13624,0.548636,3.93968
494,-14.5388,-1.77265,-0.434511,5.16576
495,-9.66045,-2.30302,-2.46948,5.81659
496,-7.03435,-2.85725,-2.92001,5.8573
497,-6.24341,0.652848,-2.31158,5.13906
498,-5.77145,1.30566,-3.09031,3.65388
499,-3.59038,1.93242,-5.28086,3.3449
500,-3.4301,0.54087,-3.88603,4.29172
501,-0.889891,-0.684053,-5.56604,5.59671
502,3.36474,-0.9835,-4.02419,3.50167
503,2.17844,2.45297,-3.17921,2.7462
504,3.00854,2.09768,-2.63085,2.84897
505,5.29471,0.765129,-3.2001,2.40541
506,5.65252,1.33276,-1.78493,2.82165
507,3.8325,-0.133235,0.320873,1.43086
508,3.84583,-0.834944,1.10813,1.57204
509,1.72866,1.0651,0.61243,1.53407
510,4.40935,-0.482818,2.05429,1.33427
511,6.37717,-1.43459,4.21882,2.70849
512,5.85558,-0.55808,3.85553,2.09468
513,6.33399,-0.281553,2.92583,3.72315
514,8.59546,-0.524279,3.39273,5.1202
515,8.85017,-2.28501,0.767154,3.28774
516,8.00926,-2.12054,0.443025,2.41126
517,7.50325,-3.51301,1.2587,2.03073
518,3.94476,-2.6379,-0.113021,1.74595
519,1.61093,-4.09985,0.306787,0.235142
520,-3.62091,-3.67948,0.297716,1.82402
521,-4.91909,-4.00485,0.467123,1.45871
522,-8.04701,-2.71971,0.251715,0.63798
523,-13.3776,-3.14104,-0.250529,-0.132778
524,-14.6327,-2.54671,-0.680096,0.214748
525,-17.6489,-1.16008,-0.561007,1.10894
526,-20.4015,0.1972,-0.229228,3.11994
527,-21.5792,-0.523699,0.963871,3.74204
528,-18.6729,-2.3003,1.85831,3.78476
529,-17.8017,-1.25348,0.501763,2.2486
530,-14.0171,-1.6629,1.11487,2.26918
531,-14.5756,0.0676148,-0.298447,3.44369
532,-13.7029,-0.413114,0.0306297,3.08817
533,-12.6675,0.430889,-1.83769,3.30342
534,-11.8508,1.34888,-2.92753,3.62931
535,-10.5157,3.31899,-2.47803,3.87181
536,-10.2856,5.06315,-2.33238,2.93388
537,-9.91557,3.72026,-2.32031,3.38762
538,-7.39747,4.17928,-1.31826,3.59505
539,-9.41362,5.83418,-0.547307,3.4464
540,-7.24835,6.93348,0.702253,3.45831
541,-4.76269,5.44876,-0.81292,2.97608
542,-2.5683,4.43154,-2.26817,3.63363
543,-2.60821,3.40973,-0.838508,4.28368
544,0.524543,2.61094,-0.657211,3.08413
545,1.28386,4.33359,0.789027,3.25077
546,2.7039,3.86802,1.17674,4.1033
547,0.985528,4.29474,-0.204443,3.39057
548,1.57053,4.57515,0.0747575,1.60092
549,0.0197905,0.938335,-2.63587,1.20065
550,0.46871,-1.36151,-3.14809,-0.0963434
551,0.00529772,-2.00914,-2.48339,-0.215419
552,-2.27623,-2.44007,-1.78072,1.04451
553,-4.17845,-0.999587,-0.714642,0.696299
554,-4.9715,-1.24893,1.04721,0.459044
555,-8.24693,-0.619843,-0.049121,0.439674
556,-10.56,-1.36215,1.72005,0.376934
557,-12.3501,-3.92493,3.12143,0.0443496
558,-18.3792,-0.957093,3.33932,-0.49662
559,-19.5822,0.120953,2.77991,-1.51935
560,-21.153,0.343737,2.98081,-0.989737
561,-21.7846,1.3536,4.15284,-0.275783
562,-22.2396,1.56034,4.92866,-0.816705
563,-20.3616,3.29992,5.127,0.867246
564,-16.4233,5.61903,4.46375,1.58028
565,-11.6852,6.51091,4.87615,0.91797
566,-9.10859,7.2207,4.78524,1.02862
567,-4.83602,8.54979,3.90376,1.44401
568,-2.17905,7.5269,1.61849,0.698249
569,0.48246,7.94783,1.25944,-0.101099
570,3.67074,5.13161,0.563901,0.67963
571,6.16414,4.96998,0.341211,-1.15221
572,7.6524,2.86445,-0.247902,-1.74669
573,7.75808,2.69837,0.119162,-2.17646
574,10.1825,1.40028,-0.666135,-1.26794
575,12.8561,-0.257153,-1.07299,0.0807833
576,10.5434,-2.04975,-1.94529,-0.798989
