,r2,lat,lon
0,0.525815,-6.97653,180
0,0.573098,-6.97653,182.812
0,0.710213,-6.97653,185.625
0,0.766207,-6.97653,188.438
0,0.786611,-6.97653,191.25
0,0.789738,-6.97653,194.062
0,0.778307,-6.97653,196.875
0,0.778452,-6.97653,199.688
0,0.746807,-6.97653,202.5
0,0.753701,-6.97653,205.312
0,0.749042,-6.97653,208.125
0,0.766701,-6.97653,210.938
0,0.756171,-6.97653,213.75
0,0.748657,-6.97653,216.562
0,0.757608,-6.97653,219.375
0,0.736263,-6.97653,222.188
0,0.712717,-6.97653,225
0,0.678688,-6.97653,227.812
0,0.709422,-6.97653,230.625
0,0.734625,-6.97653,233.438
0,0.760198,-6.97653,236.25
0,0.77197,-6.97653,239.062
0,0.772155,-6.97653,241.875
0,0.783232,-6.97653,244.688
0,0.793156,-6.97653,247.5
0,0.809827,-6.97653,250.312
0,0.816249,-6.97653,253.125
0,0.802779,-6.97653,255.938
0,0.789603,-6.97653,258.75
0,0.779054,-6.97653,261.562
0,0.807781,-6.97653,264.375
0,0.831963,-6.97653,267.188
0,0.867942,-6.97653,270
0,0.84179,-6.97653,272.812
0,0.770578,-6.97653,275.625
0,0.712712,-9.76715,278.438
0,0.149925,-9.76715,151.875
0,0.119245,-9.76715,154.688
0,0.0834944,-9.76715,157.5
0,0.0354874,-9.76715,160.312
0,0.0077116,-9.76715,163.125
0,0.00459,-9.76715,165.938
0,0.0177319,-9.76715,168.75
0,0.0624218,-9.76715,171.562
0,0.134113,-9.76715,174.375
0,0.205475,-9.76715,177.188
0,0.288249,-9.76715,180
0,0.364897,-9.76715,182.812
0,0.533926,-9.76715,185.625
0,0.628713,-9.76715,188.438
0,0.651474,-9.76715,191.25
0,0.665861,-9.76715,194.062
0,0.665178,-9.76715,196.875
0,0.671624,-9.76715,199.688
0,0.64858,-9.76715,202.5
0,0.678943,-9.76715,205.312
0,0.691695,-9.76715,208.125
0,0.707715,-9.76715,210.938
0,0.699449,-9.76715,213.75
0,0.684245,-9.76715,216.562
0,0.660535,-9.76715,219.375
0,0.607767,-9.76715,222.188
0,0.585009,-9.76715,225
0,0.564793,-9.76715,227.812
0,0.596455,-9.76715,230.625
0,0.621441,-9.76715,233.438
0,0.641997,-9.76715,236.25
0,0.649998,-9.76715,239.062
0,0.647781,-9.76715,241.875
0,0.653859,-9.76715,244.688
0,0.658711,-9.76715,247.5
0,0.662629,-9.76715,250.312
0,0.659519,-9.76715,253.125
0,0.647151,-9.76715,255.938
0,0.637391,-9.76715,258.75
0,0.630104,-9.76715,261.562
0,0.664111,-9.76715,264.375
0,0.691017,-9.76715,267.188
0,0.779756,-9.76715,270
0,0.791967,-9.76715,272.812
0,0.77108,-9.76715,275.625
